Item Code,Item Name,Category Name,net_qty_kg,net_revenue,avg_sell_price,avg_wholesale,loss_rate,loss_adj_margin,discount_share,txn_count
102900005116639,Machixian,Flower/Leaf Vegetables,94.56700000000001,870.3634,9.61405750798722,5.740255591054313,0.11779999999999999,285.9248259805033,0.09584664536741214,313
106956146480203,The Crab Flavor Mushroom (2),Edible Mushroom,95.0,394.3,4.150526315789474,1.9984210526315789,0.1604,168.18041924726063,0.0,95
102900011007969,Red Lotus Root Zone,Aquatic Tuberous Vegetables,100.69,1075.5408,10.698016997167139,6.79257790368272,0.1663,255.87755182919514,0.0,353
102900005116806,Black Rapeseed,Flower/Leaf Vegetables,101.125,435.9168,4.306666666666667,2.323291666666667,0.001,202.08057377377378,0.0,240
102900011016909,Hua Eggplant,Solanum,101.379,1149.0114,11.366839378238343,6.768497409326424,0.0698,421.30306845839607,0.0,193
102900011031599,Apricot Bao Mushroom (Bag),Edible Mushroom,102.0,311.4,3.052941176470588,1.4407843137254903,0.0943,149.13876559567186,0.29411764705882354,102
102900005119104,The Crab Flavor Mushroom (1),Edible Mushroom,102.0,379.9,3.7245098039215683,2.138137254901961,0.0924,139.60691934773027,0.029411764705882353,102
106973990980123,Hfyg Haixian Mushroom (Bunch),Edible Mushroom,109.0,244.0,2.238532110091743,1.7044036697247706,0.0012,57.99679615538647,0.28440366972477066,109
102900011029176,Lameizi,Capsicum,120.249,1395.938,11.639560439560439,6.317758241758241,0.0,637.20698,0.0,455
102900005115625,Local Xiaomao Cabbage,Flower/Leaf Vegetables,121.02,554.5,4.612418300653594,3.1717973856209154,0.0018,178.00782408335002,0.0,306
102900011001691,Water Chestnut (Lingjiao),Aquatic Tuberous Vegetables,126.422,1762.1858,14.29185667752443,9.348794788273615,0.09609999999999999,473.98880918243174,0.035830618892508145,307
102900011035481,Foreign Garland Chrysanthemum  (Bag),Flower/Leaf Vegetables,127.0,952.4,7.4992125984251965,4.163228346456693,0.0943,368.6194987302639,0.2992125984251969,127
106972776821582,Xianzongye (Bag) (3),Flower/Leaf Vegetables,128.0,867.0,6.763043478260869,3.2924999999999995,0.0943,398.20238489566077,0.043478260869565216,92
102900005119968,Green Hangzhou Pepper (2),Capsicum,128.5,1142.42,8.848494453248811,4.587036450079239,0.09,494.0405274725275,0.0,631
102900011035771,Yellow Baicai (1),Flower/Leaf Vegetables,156.054,1173.7318,7.48494382022472,4.249033707865168,0.0943,451.9854711935519,0.0696629213483146,445
102900011027479,Xiaozhoupi,Capsicum,163.64000000000001,1921.8562,11.716692667706708,7.034804992199689,0.08710000000000001,674.7127122138241,0.0,641
106957634300010,The White Mushroom (Box),Edible Mushroom,168.0,486.3,2.8945121951219512,1.6929878048780487,0.0,201.79999999999998,0.006097560975609756,164
102900011035764,Longyacai,Flower/Leaf Vegetables,186.831,1578.3292000000001,8.463878326996198,4.9899619771863115,0.0943,538.4527618858342,0.09505703422053231,263
102900011033975,Green Eggplant (2),Solanum,190.522,1201.1688,6.294117647058823,4.036223908918406,0.0943,354.64544789665445,0.03225806451612903,527
102900011034354,Xianzongye (Bag) (1),Flower/Leaf Vegetables,200.0,1180.0,5.9,3.2992682926829264,0.0,524.8,0.0,41
102900005123880,Bell Pepper (1),Capsicum,212.043,2675.0713,12.652600297176821,6.942808320950967,0.16329999999999997,927.0027688657823,0.01634472511144131,673
102900011009246,Fresh Black Fungus (1),Edible Mushroom,212.171,2907.348,13.71900826446281,7.348028335301063,0.07629999999999999,1219.5558272166288,0.0,847
102900011032367,Red Bell Pepper (2),Capsicum,214.81,3987.5684,18.563846153846153,10.334446153846155,0.0943,1567.7290602627802,0.14923076923076922,650
106956146480197,The White Mushroom (2),Edible Mushroom,251.0,1008.8000000000001,4.019123505976096,2.379043824701195,0.073,364.6360302049623,0.02390438247011952,251
102900005117209,7 Colour Pepper (1),Capsicum,263.192,5557.9864,21.25842044134727,11.720673635307781,0.1598,1914.0325080695077,0.013937282229965157,861
102900011001219,The Red Bell Pepper (1),Capsicum,278.612,4921.8121,17.71689655172414,10.424563218390805,0.08929999999999999,1720.089337289997,0.013793103448275862,870
102900011032220,Fruit Pepper (Bag),Capsicum,283.0,2190.0,7.738515901060071,4.729328621908127,0.0943,712.2479849839902,0.34275618374558303,283
102900011007044,Tremella (Flower),Edible Mushroom,288.0,1225.4,4.257093425605536,2.968615916955017,0.09140000000000001,284.58996257979305,0.15916955017301038,289
102900011030158,Xiaoqingcai (2),Flower/Leaf Vegetables,296.0,454.6,1.5358108108108108,0.8850675675675677,0.0943,165.34307165728163,0.057432432432432436,296
102900011033982,Eggplant (1),Solanum,297.158,3237.7046,10.909374999999999,4.671875,0.0943,1750.193304869162,0.03125,608
102900011030042,Zhijiang Red Bolt (Bag),Flower/Leaf Vegetables,313.0,681.6,2.177635782747604,1.17814696485623,0.0943,274.44531301755546,0.17891373801916932,313
102900005115199,Sichuan Red Cedar,Flower/Leaf Vegetables,333.485,10556.5685,32.752994791666666,24.154147135416665,0.10460000000000001,1538.3965098280096,0.15950520833333334,1536
102900011034217,Chinese Cabbage (Bag),Flower/Leaf Vegetables,342.0,2809.5,8.216909620991254,5.996384839650147,0.09429999999999998,543.7718339405984,0.2653061224489796,343
102900011035511,Net Lotus Root (3),Aquatic Tuberous Vegetables,348.8,2552.8646,7.313132911392405,3.919098101265823,0.0943,1036.6780260792755,0.08860759493670886,632
102900011032343,7 Colour Pepper (2),Capsicum,370.209,8984.947400000001,24.036767485822306,13.030595463137997,0.0943,3713.6357957160208,0.14555765595463138,1058
